101 1  16.650000  3228.236942	7730.366025	 128.236942	128.366025	 1.936587e-011
101 2  17.150000  3226.772557	7730.178911	 126.772557	128.178911	 1.937724e-011
101 3  17.650000  3225.740435	7729.875720	 125.740435	127.875720	 1.937696e-011
101 4  18.150000  3224.155609	7729.895085	 124.155609	127.895085	 1.934621e-011
101 5  18.650000  3222.642705	7729.165236	 122.642705	127.165236	 1.935804e-011
101 6  19.150000  3221.527395	7729.052656	 121.527395	127.052656	 1.937396e-011
101 7  19.650000  3220.220550	7728.692464	 120.220550	126.692464	 1.936743e-011
101 8  20.150000  3218.811313	7728.903477	 118.811313	126.903477	 1.934453e-011
101 9  20.650000  3217.372995	7728.696701	 117.372995	126.696701	 1.933462e-011
101 10  21.150000  3215.840830	7728.340912	 115.840830	126.340912	 1.935110e-011
101 11  21.650000  3214.434150	7728.070474	 114.434150	126.070474	 1.934733e-011
101 12  22.150000  3213.091537	7728.055210	 113.091537	126.055210	 1.933978e-011
101 13  22.650000  3211.415829	7727.448694	 111.415829	125.448694	 1.935588e-011
101 14  23.150000  3210.459926	7727.634439	 110.459926	125.634439	 1.933403e-011
101 15  23.650000  3209.231466	7727.507547	 109.231466	125.507547	 1.933027e-011
101 16  24.150000  3207.553001	7726.828806	 107.553001	124.828806	 1.931683e-011
101 17  24.650000  3206.355056	7726.952991	 106.355056	124.952991	 1.931535e-011
101 18  25.150000  3205.187224	7726.622981	 105.187224	124.622981	 1.931735e-011
101 19  25.650000  3203.969982	7726.601632	 103.969982	124.601632	 1.930318e-011
101 20  26.150000  3202.467977	7726.329796	 102.467977	124.329796	 1.931718e-011
101 21  26.650000  3200.973043	7725.935730	 100.973043	123.935730	 1.928664e-011
101 22  27.150000  3199.653758	7726.101474	 99.653758	124.101474	 1.928512e-011
101 23  27.650000  3198.164230	7725.545356	 98.164230	123.545356	 1.930131e-011
101 24  28.150000  3196.800593	7725.089802	 96.800593	123.089802	 1.928558e-011
101 25  28.650000  3195.511751	7725.172074	 95.511751	123.172074	 1.929581e-011
101 26  29.150000  3194.266016	7724.785001	 94.266016	122.785001	 1.927109e-011
101 27  29.650000  3192.538373	7724.859556	 92.538373	122.859556	 1.928093e-011
101 28  30.150000  3191.478493	7724.367841	 91.478493	122.367841	 1.928643e-011
101 29  30.650000  3190.153529	7724.435829	 90.153529	122.435829	 1.925738e-011
101 30  31.150000  3188.817891	7724.294166	 88.817891	122.294166	 1.927096e-011
101 31  31.650000  3187.577346	7723.894038	 87.577346	121.894038	 1.928669e-011
101 32  32.150000  3186.229504	7723.747842	 86.229504	121.747842	 1.925553e-011
101 33  32.650000  3185.028989	7723.475227	 85.028989	121.475227	 1.924188e-011
101 34  33.150000  3183.348349	7723.218456	 83.348349	121.218456	 1.927279e-011
101 35  33.650000  3182.079087	7723.042839	 82.079087	121.042839	 1.923435e-011
101 36  34.150000  3180.896000	7722.768288	 80.896000	120.768288	 1.922311e-011
101 37  34.650000  3179.474954	7722.501490	 79.474954	120.501490	 1.925504e-011
101 38  35.150000  3177.932798	7722.390546	 77.932798	120.390546	 1.922594e-011
101 39  35.650000  3176.517747	7722.031350	 76.517747	120.031350	 1.923350e-011
101 40  36.150000  3175.335544	7721.766182	 75.335544	119.766182	 1.924439e-011
101 41  36.650000  3174.078425	7721.463922	 74.078425	119.463922	 1.923190e-011
101 42  37.150000  3172.844635	7721.504414	 72.844635	119.504414	 1.921061e-011
101 43  37.650000  3171.064130	7721.018852	 71.064130	119.018852	 1.920770e-011
101 44  38.150000  3169.866847	7721.062441	 69.866847	119.062441	 1.921477e-011
101 45  38.650000  3168.622880	7721.088528	 68.622880	119.088528	 1.919132e-011
101 46  39.150000  3166.803490	7720.478691	 66.803490	118.478691	 1.919709e-011
101 47  39.650000  3165.748593	7719.954737	 65.748593	117.954737	 1.919417e-011
101 48  40.150000  3164.255642	7719.929578	 64.255642	117.929578	 1.921332e-011
101 49  40.650000  3162.791519	7719.778745	 62.791519	117.778745	 1.920686e-011
101 50  41.150000  3161.727483	7719.511216	 128.727483	128.511216	 2.137620e-011
101 51  41.650000  3160.453754	7719.445902	 127.453754	128.445902	 2.137670e-011
101 52  42.150000  3159.198290	7719.369836	 126.198290	128.369836	 2.137424e-011
101 53  42.650000  3157.424040	7718.699265	 124.424040	127.699265	 2.136068e-011
101 54  43.150000  3156.102135	7718.658929	 123.102135	127.658929	 2.137928e-011
101 55  43.650000  3154.790544	7718.568005	 121.790544	127.568005	 2.134756e-011
