0,1,2,3,4,5
data/images/103/001.bmp,42,75,55,83,Target
data/images/103/002.bmp,43,75,54,85,Target
data/images/103/003.bmp,45,76,57,87,Target
data/images/103/004.bmp,46,77,59,88,Target
data/images/103/005.bmp,45,78,58,89,Target
data/images/103/006.bmp,46,79,60,88,Target
data/images/103/007.bmp,47,79,61,90,Target
data/images/103/008.bmp,46,80,62,93,Target
data/images/103/009.bmp,49,83,63,94,Target
data/images/103/0010.bmp,50,85,62,93,Target
data/images/103/0011.bmp,49,84,65,94,Target
data/images/103/0012.bmp,51,87,65,97,Target
data/images/103/0013.bmp,52,87,66,96,Target
data/images/103/0014.bmp,51,88,66,98,Target
data/images/103/0015.bmp,55,89,67,99,Target
data/images/103/0016.bmp,54,89,67,99,Target
data/images/103/0017.bmp,56,91,68,100,Target
data/images/103/0018.bmp,56,92,69,102,Target
data/images/103/0019.bmp,57,93,70,103,Target
data/images/103/0020.bmp,58,94,72,104,Target
data/images/103/0021.bmp,59,95,72,105,Target
data/images/103/0022.bmp,59,95,73,106,Target
data/images/103/0023.bmp,61,98,74,109,Target
data/images/103/0024.bmp,63,99,74,109,Target
data/images/103/0025.bmp,62,98,75,109,Target
data/images/103/0026.bmp,63,101,77,111,Target
data/images/103/0027.bmp,63,101,76,113,Target
data/images/103/0028.bmp,65,103,77,113,Target
data/images/103/0029.bmp,66,103,77,114,Target
data/images/103/0030.bmp,67,104,78,115,Target
data/images/103/0031.bmp,68,106,81,116,Target
data/images/103/0032.bmp,68,106,81,118,Target
data/images/103/0033.bmp,69,107,81,118,Target
data/images/103/0034.bmp,71,108,82,120,Target
data/images/103/0035.bmp,71,107,84,120,Target
data/images/103/0036.bmp,72,112,84,121,Target
data/images/103/0037.bmp,72,111,86,121,Target
data/images/103/0038.bmp,72,114,86,124,Target
data/images/103/0039.bmp,75,115,89,124,Target
data/images/103/0040.bmp,76,115,90,125,Target
data/images/103/0041.bmp,77,118,88,128,Target
data/images/103/0042.bmp,79,118,91,129,Target
data/images/103/0043.bmp,78,119,90,129,Target
data/images/103/0044.bmp,78,121,91,128,Target
data/images/103/0045.bmp,81,121,94,131,Target
data/images/103/0046.bmp,81,123,93,131,Target
data/images/103/0047.bmp,84,124,94,134,Target
data/images/103/0048.bmp,83,124,95,133,Target
data/images/103/0049.bmp,84,125,96,133,Target
data/images/103/0050.bmp,86,125,98,136,Target
data/images/103/0051.bmp,86,126,98,136,Target
data/images/103/0052.bmp,86,130,98,139,Target
data/images/103/0053.bmp,88,131,102,140,Target
data/images/103/0054.bmp,88,132,100,140,Target
data/images/103/0055.bmp,90,131,102,141,Target
data/images/103/0056.bmp,90,132,101,143,Target
data/images/103/0057.bmp,93,133,104,143,Target
data/images/103/0058.bmp,91,137,104,145,Target
data/images/103/0059.bmp,91,135,104,146,Target
data/images/103/0060.bmp,94,136,104,146,Target
data/images/103/0061.bmp,94,137,108,149,Target
data/images/103/0062.bmp,94,137,106,148,Target
data/images/103/0063.bmp,95,139,111,150,Target
data/images/103/0064.bmp,96,139,112,151,Target
data/images/103/0065.bmp,96,141,111,153,Target
data/images/103/0066.bmp,98,143,113,154,Target
data/images/103/0067.bmp,99,143,115,153,Target
data/images/103/0068.bmp,99,144,115,156,Target
data/images/103/0069.bmp,101,146,116,158,Target
data/images/103/0070.bmp,102,148,118,159,Target
data/images/103/0071.bmp,103,149,117,159,Target
data/images/103/0072.bmp,103,148,118,159,Target
data/images/103/0073.bmp,105,149,121,160,Target
data/images/103/0074.bmp,105,150,120,160,Target
data/images/103/0075.bmp,107,153,120,163,Target
data/images/103/0076.bmp,107,153,122,164,Target
data/images/103/0077.bmp,109,155,123,165,Target
data/images/103/0078.bmp,108,156,123,167,Target
data/images/103/0079.bmp,108,157,126,169,Target
data/images/103/0080.bmp,109,156,126,168,Target
data/images/103/0081.bmp,111,157,127,170,Target
data/images/103/0082.bmp,113,159,126,170,Target
data/images/103/0083.bmp,112,158,127,169,Target
data/images/103/0084.bmp,114,162,126,172,Target
data/images/103/0085.bmp,115,161,131,174,Target
data/images/103/0086.bmp,115,161,132,174,Target
data/images/103/0087.bmp,115,163,132,176,Target
data/images/103/0088.bmp,117,165,135,176,Target
data/images/103/0089.bmp,119,166,133,178,Target
data/images/103/0090.bmp,121,169,132,179,Target
data/images/103/0091.bmp,121,168,136,180,Target
data/images/103/0092.bmp,122,170,136,181,Target
data/images/103/0093.bmp,122,171,137,182,Target
data/images/103/0094.bmp,122,171,138,183,Target
data/images/103/0095.bmp,124,172,139,183,Target
data/images/103/0096.bmp,125,173,139,184,Target
data/images/103/0097.bmp,126,175,141,184,Target
data/images/103/0098.bmp,126,174,142,185,Target
data/images/103/0099.bmp,127,177,142,187,Target
data/images/103/00100.bmp,129,178,143,187,Target
